,Macrophages M1,Macrophages M2,M,Th,Tr,Tc,D,C,N,Ig,mu1,mu2,H
Cluster 1,3507310.7857091743,14612174.739694359,18119485.525403537,3714644.796936041,2556530.0523986616,11239180.276796427,551454.2541760177,6898651374.093984,299778307.2314518,0.5686960596020432,24.089878079971452,2.406064577143287,5.038028561341099
Cluster 2,1321773.5107692042,15881069.873530576,17202843.384299777,1894435.4813966735,1262797.071217445,678902.7035309867,347996.50977498153,6956470087.011469,490622572.69721514,0.078531827882098,23.966552730714568,2.1179587032408835,4.929261091653644
Cluster 3,1625245.1723121097,24864014.25678524,26489259.429097343,1222427.701241284,1272876.7636510262,1052458.8281648592,165403.31980016487,5048699653.660031,504394788.8063797,0.0763615514461418,24.161731880500714,1.9669482119385675,4.783620689227898
