,Mn,M,Tn,Th,Tr,Tc,Dn,D,C,N,Ig,mu1,mu2,H
Cluster 1,2.367041507555167,1.0054885974563588,0.01886611556107437,0.7937317657913376,0.7639467735054734,0.8278101014179247,1.1220455276909413,0.0,0.020121296799607082,0.1595666068552363,2.3936996426439814,1.103638811797158,1.805793639802363,1.059438210965805
Cluster 2,0.9875324697352247,1.202942755710973,0.6141061639626406,0.317899811917432,2.691385663193899,1.820960943518926,0.7266128745267153,0.0,0.019131165565609495,0.3996761821039037,3.533942783724001,1.1435409013250073,1.4371506924450699,1.1112363679755686
Cluster 3,0.8657740709091992,1.1035285153925474,0.5719336074831973,0.3396156772626816,0.483925985845815,0.0,1.642615784414067,0.0,0.014390627620196618,0.0008380597442510827,0.2764663913827247,1.029919553792566,1.2964202864966212,1.283908494639147
