,Mn,M,Tn,Th,Tr,Tc,Dn,D,C,N,Ig,mu1,mu2,H
Cluster 1,6236284.216986777,19769866.382342122,4926434.113392868,7092327.680479028,3674531.9733686456,22923419.135124985,482635.0203310197,986482.3162457809,13431646228.3141,376383596.6456609,0.8682814062552348,21.51017590351701,2.067437042437179,5.076267092540677
Cluster 2,32482621.214702792,18424520.970686283,10466883.056327151,1972801.3278689482,867330.7539313409,315516.3177668919,892741.1336212069,713496.720759797,16038433560.184523,425728045.8782226,0.04851891116977756,20.713530604816405,1.6109561576714804,4.948465302571898
Cluster 3,19442054.778870765,26981802.47769289,13682815.571827373,1204810.9622291443,1404862.7513544194,1802335.7803309525,459058.11862316186,373208.9705629454,13396487039.861517,1543865332.0050159,0.263541624596174,23.66303241114675,1.370699965417822,4.453101490066231
